Merchant,Category,Amount,User
National Rail,Transport,104.1,161
TFL,Transport,234.23,164
Thames Water,Utilities & Bills,153.58,112
EDF,Utilities & Bills,167.56,93
KFC,Food & Drink,79.81,194
British Gas,Utilities & Bills,164.73,169
Uber,Transport,9.43,142
Spotify,Entertainment,94.78,136
Sky Mobile,Mobile Services,166.12,33
TFL,Transport,95.09,119
Octopus Energy,Utilities & Bills,149.52,109
Iceland,Groceries,226.99,27
McDonald's,Food & Drink,128.15,28
Vodafone,Mobile Services,216.72,61
Aldi,Groceries,10.96,49
Primark,Shopping,235.41,46
Vue,Entertainment,188.19,37
Netflix,Entertainment,140.43,95
Aldi,Groceries,213.99,191
Apple Music,Entertainment,51.77,161
Sainsbury's,Groceries,141.42,54
Pret A Manger,Food & Drink,144.66,24
KFC,Food & Drink,169.43,151
Nando's,Food & Drink,131.99,130
Starbucks,Food & Drink,212.92,137
Iceland,Groceries,93.08,170
Virgin Mobile,Mobile Services,203.48,153
Spotify,Entertainment,130.28,57
Uber,Transport,52.6,8
Thames Water,Utilities & Bills,17.44,115
Sky Mobile,Mobile Services,97.02,66
Sky Mobile,Mobile Services,13.81,153
Nando's,Food & Drink,245.55,150
Costa,Food & Drink,12.47,180
Burger King,Food & Drink,79.3,188
Netflix,Entertainment,207.83,60
National Rail,Transport,157.61,196
EDF,Utilities & Bills,52.62,94
Sky Mobile,Mobile Services,161.17,52
Disney+,Entertainment,131.49,158
Tesco,Groceries,102.71,19
Bolt,Transport,24.22,117
British Gas,Utilities & Bills,109.94,140
Netflix,Entertainment,47.46,1
Virgin Mobile,Mobile Services,63.75,118
ASOS,Shopping,73.58,16
Apple Music,Entertainment,154.87,195
Bolt,Transport,92.21,86
ASOS,Shopping,33.44,69
Giffgaff,Mobile Services,81.3,190
Uber,Transport,121.17,176
Spotify,Entertainment,47.43,101
Virgin Mobile,Mobile Services,155.88,69
Bolt,Transport,68.92,138
Pret A Manger,Food & Drink,128.27,1
Apple Music,Entertainment,44.92,24
Virgin Mobile,Mobile Services,11.5,128
Aldi,Groceries,145.99,178
Aldi,Groceries,36.48,189
Waitrose,Groceries,235.66,67
Amazon,Shopping,164.61,43
Uber,Transport,21.99,95
Octopus Energy,Utilities & Bills,14.55,35
Giffgaff,Mobile Services,165.65,93
Costa,Food & Drink,10.7,162
Tesco,Groceries,126.53,58
Disney+,Entertainment,159.09,157
Uber,Transport,201.85,164
McDonald's,Food & Drink,188.9,192
Tesco,Groceries,184.25,36
Starbucks,Food & Drink,195.22,152
Virgin Mobile,Mobile Services,142.66,12
Zara,Shopping,188.96,99
eBay,Shopping,226.13,62
National Rail,Transport,100.46,141
Waitrose,Groceries,100.35,140
Netflix,Entertainment,212.55,9
Vodafone,Mobile Services,237.77,128
TFL,Transport,125.79,144
Apple Music,Entertainment,76.84,25
TFL,Transport,57.12,53
Vodafone,Mobile Services,198.46,109
Disney+,Entertainment,243.69,142
Virgin Mobile,Mobile Services,113.17,75
Nando's,Food & Drink,40.03,74
Greggs,Food & Drink,217.38,7
EDF,Utilities & Bills,59.53,137
Pret A Manger,Food & Drink,178.03,5
Apple Music,Entertainment,62.14,136
Netflix,Entertainment,220.69,145
Sky Mobile,Mobile Services,246.57,132
Bolt,Transport,178.5,19
Spotify,Entertainment,141.81,91
Costa,Food & Drink,85.91,126
Lidl,Groceries,7.78,126
Greggs,Food & Drink,34.11,61
Giffgaff,Mobile Services,187.33,131
Spotify,Entertainment,240.73,191
Uber,Transport,25.31,161
EDF,Utilities & Bills,240.99,44
Apple Music,Entertainment,15.57,149
EDF,Utilities & Bills,248.28,164
Waitrose,Groceries,242.48,146
Giffgaff,Mobile Services,58.12,143
Giffgaff,Mobile Services,158.75,118
Morrisons,Groceries,16.13,12
KFC,Food & Drink,19.18,102
National Rail,Transport,156.93,8
Greggs,Food & Drink,163.48,136
Greggs,Food & Drink,148.0,101
Primark,Shopping,246.62,191
Amazon,Shopping,80.83,157
Vue,Entertainment,206.52,82
Lidl,Groceries,155.29,194
KFC,Food & Drink,219.78,109
Netflix,Entertainment,195.51,146
Giffgaff,Mobile Services,97.3,26
Giffgaff,Mobile Services,242.63,27
ASOS,Shopping,20.56,105
Morrisons,Groceries,71.98,55
Thames Water,Utilities & Bills,204.16,95
Vue,Entertainment,141.08,53
Disney+,Entertainment,213.16,145
Netflix,Entertainment,36.64,51
Apple Music,Entertainment,55.77,193
Argos,Shopping,92.75,72
Virgin Mobile,Mobile Services,127.05,182
British Gas,Utilities & Bills,132.44,12
eBay,Shopping,242.15,57
Zara,Shopping,12.05,85
Octopus Energy,Utilities & Bills,202.24,103
Thames Water,Utilities & Bills,8.56,38
Costa,Food & Drink,160.98,79
Waitrose,Groceries,226.52,52
eBay,Shopping,115.47,79
Bolt,Transport,157.41,51
ASOS,Shopping,200.14,138
Argos,Shopping,193.38,84
Disney+,Entertainment,157.1,194
Vue,Entertainment,147.01,115
Giffgaff,Mobile Services,117.73,80
Sky Mobile,Mobile Services,39.01,8
National Rail,Transport,175.64,25
Waitrose,Groceries,131.23,160
McDonald's,Food & Drink,52.11,147
Apple Music,Entertainment,89.55,170
Apple Music,Entertainment,139.44,133
Primark,Shopping,55.55,34
eBay,Shopping,85.87,155
Argos,Shopping,200.86,121
British Gas,Utilities & Bills,130.36,107
Vodafone,Mobile Services,19.96,26
Uber,Transport,25.71,99
Spotify,Entertainment,56.29,127
Octopus Energy,Utilities & Bills,156.47,78
McDonald's,Food & Drink,20.27,187
Morrisons,Groceries,173.36,151
British Gas,Utilities & Bills,135.37,18
Burger King,Food & Drink,135.49,15
Zara,Shopping,97.43,39
Amazon,Shopping,56.8,126
Uber,Transport,223.18,25
Bolt,Transport,198.35,109
Nando's,Food & Drink,148.13,34
Vodafone,Mobile Services,148.7,83
Starbucks,Food & Drink,87.67,180
KFC,Food & Drink,144.84,184
Lidl,Groceries,85.94,121
ASOS,Shopping,29.94,198
British Gas,Utilities & Bills,124.51,94
Iceland,Groceries,74.85,95
Giffgaff,Mobile Services,24.66,31
Spotify,Entertainment,249.33,6
Greggs,Food & Drink,242.52,4
Virgin Mobile,Mobile Services,243.89,94
British Gas,Utilities & Bills,206.11,194
Sky Mobile,Mobile Services,145.05,179
Spotify,Entertainment,55.24,154
Thames Water,Utilities & Bills,109.23,20
Primark,Shopping,33.14,90
Thames Water,Utilities & Bills,26.39,126
Morrisons,Groceries,122.88,3
eBay,Shopping,87.47,10
Disney+,Entertainment,247.54,13
Greggs,Food & Drink,67.39,101
Amazon,Shopping,33.59,143
British Gas,Utilities & Bills,199.6,95
ASOS,Shopping,208.5,178
EDF,Utilities & Bills,184.06,137
Greggs,Food & Drink,97.91,1
Thames Water,Utilities & Bills,211.25,72
Tesco,Groceries,188.87,60
British Gas,Utilities & Bills,45.25,5
Waitrose,Groceries,160.27,62
Uber,Transport,219.91,89
KFC,Food & Drink,115.73,104
Thames Water,Utilities & Bills,118.36,166
Zara,Shopping,112.49,153
Amazon,Shopping,100.91,194
EDF,Utilities & Bills,227.09,179
Sky Mobile,Mobile Services,110.72,67
Sky Mobile,Mobile Services,87.05,192
TFL,Transport,220.26,33
Bolt,Transport,224.0,164
Netflix,Entertainment,81.37,155
Giffgaff,Mobile Services,13.22,86
Costa,Food & Drink,126.03,74
eBay,Shopping,206.21,159
Vodafone,Mobile Services,116.97,180
Giffgaff,Mobile Services,137.27,157
Vodafone,Mobile Services,181.95,130
Morrisons,Groceries,151.62,164
Bolt,Transport,66.69,69
TFL,Transport,239.97,104
Octopus Energy,Utilities & Bills,103.21,47
Burger King,Food & Drink,155.66,141
Octopus Energy,Utilities & Bills,154.81,111
TFL,Transport,233.37,100
Uber,Transport,231.01,72
Virgin Mobile,Mobile Services,193.96,31
Starbucks,Food & Drink,108.91,29
Thames Water,Utilities & Bills,210.91,11
Giffgaff,Mobile Services,32.74,149
Burger King,Food & Drink,50.65,57
Zara,Shopping,81.3,115
Giffgaff,Mobile Services,97.93,53
Argos,Shopping,201.7,117
Starbucks,Food & Drink,33.0,25
Pret A Manger,Food & Drink,231.13,135
Pret A Manger,Food & Drink,185.69,17
Waitrose,Groceries,115.85,179
Thames Water,Utilities & Bills,146.52,180
EDF,Utilities & Bills,229.14,177
Vue,Entertainment,159.9,156
McDonald's,Food & Drink,131.22,81
Uber,Transport,41.42,118
Thames Water,Utilities & Bills,136.09,104
Zara,Shopping,150.87,141
British Gas,Utilities & Bills,109.56,184
Iceland,Groceries,55.26,29
ASOS,Shopping,97.54,144
Sainsbury's,Groceries,77.04,115
Virgin Mobile,Mobile Services,133.48,113
Burger King,Food & Drink,142.11,63
Uber,Transport,86.92,55
Sky Mobile,Mobile Services,96.46,110
Greggs,Food & Drink,201.18,55
National Rail,Transport,180.41,93
Amazon,Shopping,59.38,187
Giffgaff,Mobile Services,150.79,67
Tesco,Groceries,141.4,8
Pret A Manger,Food & Drink,64.58,78
British Gas,Utilities & Bills,240.85,165
EDF,Utilities & Bills,104.57,55
Nando's,Food & Drink,160.14,161
Giffgaff,Mobile Services,11.5,125
Aldi,Groceries,162.52,82
Starbucks,Food & Drink,205.27,148
Sainsbury's,Groceries,207.15,195
Sky Mobile,Mobile Services,70.68,5
Netflix,Entertainment,111.85,172
Aldi,Groceries,243.76,108
Argos,Shopping,143.62,59
British Gas,Utilities & Bills,200.96,114
Tesco,Groceries,70.83,40
McDonald's,Food & Drink,103.62,22
Iceland,Groceries,246.18,186
Apple Music,Entertainment,174.35,37
Iceland,Groceries,229.0,85
Greggs,Food & Drink,127.03,34
ASOS,Shopping,164.6,122
TFL,Transport,31.11,86
Vue,Entertainment,225.5,134
Sainsbury's,Groceries,152.13,53
Virgin Mobile,Mobile Services,229.03,154
Spotify,Entertainment,193.87,46
Greggs,Food & Drink,239.86,193
Lidl,Groceries,152.77,26
Apple Music,Entertainment,210.08,11
Uber,Transport,181.78,54
Nando's,Food & Drink,167.6,150
Netflix,Entertainment,71.13,148
Waitrose,Groceries,211.17,81
British Gas,Utilities & Bills,151.23,154
McDonald's,Food & Drink,89.37,40
Amazon,Shopping,126.4,171
Starbucks,Food & Drink,65.37,131
McDonald's,Food & Drink,5.57,179
Octopus Energy,Utilities & Bills,149.61,19
Spotify,Entertainment,202.82,49
Netflix,Entertainment,237.81,55
Zara,Shopping,26.24,80
Morrisons,Groceries,202.61,118
Thames Water,Utilities & Bills,66.17,89
TFL,Transport,174.83,109
Nando's,Food & Drink,15.82,16
Giffgaff,Mobile Services,49.24,86
Nando's,Food & Drink,13.32,117
Giffgaff,Mobile Services,52.19,72
Pret A Manger,Food & Drink,236.35,82
Virgin Mobile,Mobile Services,18.45,146
Sainsbury's,Groceries,162.91,14
Vodafone,Mobile Services,61.35,188
Disney+,Entertainment,221.82,171
Nando's,Food & Drink,104.1,39
Vodafone,Mobile Services,137.18,93
EDF,Utilities & Bills,185.77,161
Disney+,Entertainment,219.78,194
Sky Mobile,Mobile Services,218.17,158
Morrisons,Groceries,50.44,18
Waitrose,Groceries,249.49,29
EDF,Utilities & Bills,103.47,185
TFL,Transport,102.58,158
Zara,Shopping,108.23,133
eBay,Shopping,5.82,173
Thames Water,Utilities & Bills,75.37,68
Burger King,Food & Drink,149.33,176
ASOS,Shopping,246.99,73
Giffgaff,Mobile Services,100.95,196
TFL,Transport,237.74,61
Vue,Entertainment,149.2,39
Virgin Mobile,Mobile Services,152.2,62
Disney+,Entertainment,45.92,52
TFL,Transport,103.39,93
Virgin Mobile,Mobile Services,153.9,110
Pret A Manger,Food & Drink,48.25,169
Argos,Shopping,196.0,6
Apple Music,Entertainment,159.3,177
John Lewis,Shopping,151.33,61
Sainsbury's,Groceries,131.24,82
EDF,Utilities & Bills,42.7,160
Iceland,Groceries,157.62,125
Giffgaff,Mobile Services,150.27,142
Disney+,Entertainment,117.07,184
Waitrose,Groceries,36.73,137
Tesco,Groceries,213.79,170
Zara,Shopping,165.53,5
Waitrose,Groceries,73.94,124
Virgin Mobile,Mobile Services,68.64,133
Costa,Food & Drink,24.86,60
Spotify,Entertainment,23.65,81
KFC,Food & Drink,221.31,62
Vue,Entertainment,207.05,56
KFC,Food & Drink,143.6,33
Thames Water,Utilities & Bills,200.37,168
Uber,Transport,43.55,48
ASOS,Shopping,210.07,89
Disney+,Entertainment,30.93,155
Thames Water,Utilities & Bills,43.86,45
Starbucks,Food & Drink,12.17,23
Costa,Food & Drink,205.89,181
British Gas,Utilities & Bills,44.39,100
Burger King,Food & Drink,190.38,12
Virgin Mobile,Mobile Services,75.32,46
Tesco,Groceries,142.16,104
Virgin Mobile,Mobile Services,160.33,88
Vue,Entertainment,36.47,158
Virgin Mobile,Mobile Services,110.9,63
National Rail,Transport,48.98,37
Spotify,Entertainment,47.57,68
Tesco,Groceries,193.89,145
Burger King,Food & Drink,89.74,120
Sainsbury's,Groceries,218.53,192
Giffgaff,Mobile Services,114.26,180
Spotify,Entertainment,11.02,139
eBay,Shopping,96.1,160
Waitrose,Groceries,172.41,26
Burger King,Food & Drink,119.79,4
John Lewis,Shopping,115.59,39
Sky Mobile,Mobile Services,207.35,75
National Rail,Transport,25.18,84
British Gas,Utilities & Bills,71.95,81
Thames Water,Utilities & Bills,12.67,21
Vodafone,Mobile Services,215.05,84
British Gas,Utilities & Bills,72.18,131
Tesco,Groceries,83.58,166
Virgin Mobile,Mobile Services,57.21,64
Amazon,Shopping,180.16,18
Vodafone,Mobile Services,120.94,72
Bolt,Transport,54.91,93
Vue,Entertainment,211.97,199
Lidl,Groceries,37.15,181
Bolt,Transport,156.08,46
Giffgaff,Mobile Services,5.3,199
eBay,Shopping,172.96,9
Thames Water,Utilities & Bills,125.44,63
Octopus Energy,Utilities & Bills,84.85,130
Lidl,Groceries,41.65,21
Burger King,Food & Drink,101.16,110
Sky Mobile,Mobile Services,181.86,11
Netflix,Entertainment,215.73,102
John Lewis,Shopping,122.72,88
Amazon,Shopping,30.18,46
Vodafone,Mobile Services,123.18,92
Uber,Transport,142.11,160
Greggs,Food & Drink,22.74,33
ASOS,Shopping,25.21,77
Bolt,Transport,102.25,194
British Gas,Utilities & Bills,54.21,122
Nando's,Food & Drink,54.04,119
Uber,Transport,238.13,61
Waitrose,Groceries,12.74,6
Zara,Shopping,155.17,41
Greggs,Food & Drink,218.39,178
Bolt,Transport,196.94,111
Morrisons,Groceries,24.63,84
Bolt,Transport,205.24,154
Sky Mobile,Mobile Services,14.98,188
Burger King,Food & Drink,25.0,12
Vodafone,Mobile Services,44.09,45
Sainsbury's,Groceries,85.61,100
Apple Music,Entertainment,198.48,183
Aldi,Groceries,141.06,146
Iceland,Groceries,86.42,56
John Lewis,Shopping,164.33,35
Apple Music,Entertainment,107.51,97
Vodafone,Mobile Services,47.68,159
McDonald's,Food & Drink,212.33,37
National Rail,Transport,95.9,20
National Rail,Transport,138.11,179
Primark,Shopping,12.2,98
Bolt,Transport,151.44,164
British Gas,Utilities & Bills,72.82,115
Burger King,Food & Drink,92.99,131
Disney+,Entertainment,159.73,143
John Lewis,Shopping,195.12,100
British Gas,Utilities & Bills,159.97,14
Octopus Energy,Utilities & Bills,49.34,69
EDF,Utilities & Bills,112.11,60
Netflix,Entertainment,167.34,70
John Lewis,Shopping,81.48,28
Pret A Manger,Food & Drink,165.9,193
National Rail,Transport,102.18,151
Sky Mobile,Mobile Services,62.83,195
Octopus Energy,Utilities & Bills,86.07,93
Greggs,Food & Drink,208.08,1
Spotify,Entertainment,149.03,1
eBay,Shopping,46.07,121
Lidl,Groceries,92.4,165
Amazon,Shopping,177.82,56
TFL,Transport,217.73,108
Lidl,Groceries,13.38,78
Starbucks,Food & Drink,135.14,20
McDonald's,Food & Drink,161.8,35
EDF,Utilities & Bills,233.8,69
Amazon,Shopping,148.24,12
Greggs,Food & Drink,246.72,43
Octopus Energy,Utilities & Bills,84.17,29
Zara,Shopping,116.41,171
Nando's,Food & Drink,168.38,84
Vodafone,Mobile Services,37.52,52
Costa,Food & Drink,184.56,8
McDonald's,Food & Drink,28.01,8
Apple Music,Entertainment,241.02,175
Starbucks,Food & Drink,210.34,171
Burger King,Food & Drink,126.81,145
KFC,Food & Drink,216.83,113
TFL,Transport,233.08,46
Uber,Transport,152.15,31
EDF,Utilities & Bills,168.41,105
Burger King,Food & Drink,166.17,192
British Gas,Utilities & Bills,244.41,169
ASOS,Shopping,196.68,77
Giffgaff,Mobile Services,31.73,98
Spotify,Entertainment,168.56,198
Costa,Food & Drink,220.08,23
Lidl,Groceries,205.37,88
Octopus Energy,Utilities & Bills,164.02,143
Primark,Shopping,154.41,143
Vue,Entertainment,100.2,161
Amazon,Shopping,113.88,102
Pret A Manger,Food & Drink,152.84,110
Octopus Energy,Utilities & Bills,191.04,9
Lidl,Groceries,216.52,48
Burger King,Food & Drink,228.99,154
Primark,Shopping,41.5,48
Spotify,Entertainment,121.79,43
Virgin Mobile,Mobile Services,187.98,108
Waitrose,Groceries,9.47,151
Morrisons,Groceries,224.7,117
TFL,Transport,64.65,51
Vodafone,Mobile Services,233.94,19
Burger King,Food & Drink,124.04,117
Bolt,Transport,80.29,156
Sainsbury's,Groceries,154.53,146
Starbucks,Food & Drink,244.3,90
eBay,Shopping,49.38,95
Bolt,Transport,200.95,159
Sky Mobile,Mobile Services,31.18,170
Disney+,Entertainment,229.85,84
Bolt,Transport,202.47,129
National Rail,Transport,133.99,47
Lidl,Groceries,152.39,118
Spotify,Entertainment,60.88,9
Virgin Mobile,Mobile Services,47.82,121
Disney+,Entertainment,225.51,49
Pret A Manger,Food & Drink,196.23,50
Aldi,Groceries,108.82,89
Pret A Manger,Food & Drink,157.85,183
McDonald's,Food & Drink,46.16,108
Starbucks,Food & Drink,58.1,150
Vue,Entertainment,153.74,160
Sainsbury's,Groceries,67.94,77
Netflix,Entertainment,126.71,2
Morrisons,Groceries,175.31,67
Burger King,Food & Drink,114.22,169
John Lewis,Shopping,247.86,188
British Gas,Utilities & Bills,152.79,102
KFC,Food & Drink,72.17,36
Netflix,Entertainment,150.96,73
John Lewis,Shopping,89.17,196
Netflix,Entertainment,208.81,188
Spotify,Entertainment,62.26,149
Thames Water,Utilities & Bills,164.46,44
Disney+,Entertainment,86.59,70
Nando's,Food & Drink,97.73,102
John Lewis,Shopping,184.01,30
National Rail,Transport,147.22,186
Uber,Transport,47.95,31
Giffgaff,Mobile Services,46.77,106
Octopus Energy,Utilities & Bills,115.34,144
Uber,Transport,78.71,136
TFL,Transport,232.16,23
TFL,Transport,42.34,5
National Rail,Transport,193.31,65
eBay,Shopping,132.63,198
Octopus Energy,Utilities & Bills,198.04,32
ASOS,Shopping,207.39,38
Bolt,Transport,20.46,36
Zara,Shopping,69.46,66
ASOS,Shopping,89.85,193
Waitrose,Groceries,102.26,151
Greggs,Food & Drink,218.97,6
Iceland,Groceries,126.76,86
Uber,Transport,100.81,12
Giffgaff,Mobile Services,33.51,82
Vue,Entertainment,170.2,158
Octopus Energy,Utilities & Bills,39.61,7
Bolt,Transport,24.83,149
Sainsbury's,Groceries,42.68,163
Burger King,Food & Drink,244.02,10
Argos,Shopping,37.47,54
Primark,Shopping,153.56,65
Thames Water,Utilities & Bills,192.38,125
TFL,Transport,238.44,134
ASOS,Shopping,95.05,136
Disney+,Entertainment,129.0,79
Uber,Transport,139.63,32
Uber,Transport,234.43,20
McDonald's,Food & Drink,30.89,134
Vue,Entertainment,156.8,60
Sky Mobile,Mobile Services,99.68,5
Sainsbury's,Groceries,117.65,130
British Gas,Utilities & Bills,189.79,159
Giffgaff,Mobile Services,110.43,137
Lidl,Groceries,34.74,190
British Gas,Utilities & Bills,48.55,144
Uber,Transport,129.81,103
ASOS,Shopping,155.73,52
Spotify,Entertainment,165.65,166
Virgin Mobile,Mobile Services,37.02,116
Virgin Mobile,Mobile Services,165.25,7
Aldi,Groceries,123.0,199
Apple Music,Entertainment,193.48,183
Burger King,Food & Drink,122.93,79
Disney+,Entertainment,171.84,120
Giffgaff,Mobile Services,57.72,181
McDonald's,Food & Drink,240.1,164
John Lewis,Shopping,70.13,139
Giffgaff,Mobile Services,211.87,183
Disney+,Entertainment,36.16,34
National Rail,Transport,185.65,180
Disney+,Entertainment,197.33,141
Amazon,Shopping,30.03,120
Amazon,Shopping,173.59,60
Netflix,Entertainment,211.01,58
National Rail,Transport,118.06,34
Iceland,Groceries,160.98,79
Primark,Shopping,115.4,173
Lidl,Groceries,185.67,193
Giffgaff,Mobile Services,16.72,200
Zara,Shopping,180.5,109
Waitrose,Groceries,7.97,133
Uber,Transport,99.96,159
Thames Water,Utilities & Bills,90.68,143
Morrisons,Groceries,197.04,51
Sainsbury's,Groceries,29.11,94
Thames Water,Utilities & Bills,21.83,138
British Gas,Utilities & Bills,25.13,81
Vodafone,Mobile Services,193.46,153
Argos,Shopping,168.5,195
Primark,Shopping,155.68,78
Amazon,Shopping,240.16,119
British Gas,Utilities & Bills,242.28,149
National Rail,Transport,121.21,2
EDF,Utilities & Bills,147.69,95
Bolt,Transport,36.38,15
Argos,Shopping,60.03,153
Iceland,Groceries,112.65,114
Thames Water,Utilities & Bills,63.97,172
Iceland,Groceries,8.12,149
Sainsbury's,Groceries,204.91,119
Giffgaff,Mobile Services,68.32,175
McDonald's,Food & Drink,189.99,149
Thames Water,Utilities & Bills,188.31,135
Vodafone,Mobile Services,18.2,86
British Gas,Utilities & Bills,70.99,92
Apple Music,Entertainment,45.38,29
Spotify,Entertainment,205.36,95
Sky Mobile,Mobile Services,41.92,44
Vue,Entertainment,190.76,97
Morrisons,Groceries,30.95,23
Spotify,Entertainment,160.89,128
Disney+,Entertainment,141.72,72
Primark,Shopping,182.98,193
National Rail,Transport,52.52,64
Costa,Food & Drink,54.99,10
Vue,Entertainment,51.07,169
Netflix,Entertainment,140.79,86
Costa,Food & Drink,210.79,12
eBay,Shopping,54.61,162
Netflix,Entertainment,171.2,144
Morrisons,Groceries,79.87,56
Lidl,Groceries,35.55,111
Spotify,Entertainment,181.91,24
British Gas,Utilities & Bills,38.77,54
Giffgaff,Mobile Services,12.12,174
National Rail,Transport,199.58,20
Zara,Shopping,219.19,14
Lidl,Groceries,147.1,55
National Rail,Transport,17.94,24
Burger King,Food & Drink,202.22,159
National Rail,Transport,83.92,63
British Gas,Utilities & Bills,19.34,109
Bolt,Transport,245.58,117
Vodafone,Mobile Services,131.73,176
Spotify,Entertainment,34.98,113
Giffgaff,Mobile Services,26.71,116
John Lewis,Shopping,201.33,47
Tesco,Groceries,233.61,45
Amazon,Shopping,161.2,148
Sky Mobile,Mobile Services,173.05,47
Thames Water,Utilities & Bills,99.04,137
KFC,Food & Drink,54.72,61
Costa,Food & Drink,45.5,107
eBay,Shopping,208.77,198
John Lewis,Shopping,78.19,147
Pret A Manger,Food & Drink,110.27,69
Apple Music,Entertainment,122.82,149
KFC,Food & Drink,123.33,70
Greggs,Food & Drink,17.21,39
Pret A Manger,Food & Drink,112.03,57
Bolt,Transport,19.03,174
National Rail,Transport,38.16,31
National Rail,Transport,120.65,158
Bolt,Transport,74.14,135
Morrisons,Groceries,227.03,120
KFC,Food & Drink,95.95,106
ASOS,Shopping,70.69,73
Spotify,Entertainment,13.24,84
Costa,Food & Drink,142.69,21
Bolt,Transport,105.72,7
British Gas,Utilities & Bills,63.01,160
Aldi,Groceries,36.36,176
Giffgaff,Mobile Services,17.8,120
EDF,Utilities & Bills,126.15,21
McDonald's,Food & Drink,165.27,165
John Lewis,Shopping,80.63,85
Uber,Transport,49.84,161
McDonald's,Food & Drink,60.2,71
British Gas,Utilities & Bills,138.55,152
Apple Music,Entertainment,215.73,186
Tesco,Groceries,198.97,177
Argos,Shopping,25.02,198
Starbucks,Food & Drink,110.01,5
Burger King,Food & Drink,213.24,66
Costa,Food & Drink,216.19,179
Spotify,Entertainment,20.26,168
Thames Water,Utilities & Bills,92.21,99
Morrisons,Groceries,126.83,32
Giffgaff,Mobile Services,45.35,127
Bolt,Transport,189.76,143
Spotify,Entertainment,218.29,155
Netflix,Entertainment,142.24,28
Starbucks,Food & Drink,11.66,153
British Gas,Utilities & Bills,227.76,97
Greggs,Food & Drink,200.59,167
TFL,Transport,206.42,178
Waitrose,Groceries,113.06,11
Bolt,Transport,28.04,41
Uber,Transport,160.47,55
Zara,Shopping,52.98,104
Costa,Food & Drink,114.66,198
Bolt,Transport,82.61,131
Vue,Entertainment,224.81,107
EDF,Utilities & Bills,151.54,8
Spotify,Entertainment,205.99,101
Bolt,Transport,155.75,19
Primark,Shopping,186.23,119
Zara,Shopping,123.91,21
EDF,Utilities & Bills,84.14,156
Octopus Energy,Utilities & Bills,109.73,128
Lidl,Groceries,142.14,97
Uber,Transport,206.62,154
Octopus Energy,Utilities & Bills,184.22,189
Uber,Transport,77.64,178
British Gas,Utilities & Bills,191.1,121
Sainsbury's,Groceries,206.3,108
ASOS,Shopping,67.31,131
National Rail,Transport,133.73,21
National Rail,Transport,26.36,161
Vue,Entertainment,39.78,41
Morrisons,Groceries,51.86,75
Zara,Shopping,157.13,150
ASOS,Shopping,202.52,94
Sky Mobile,Mobile Services,160.36,125
Costa,Food & Drink,82.16,156
Sky Mobile,Mobile Services,45.95,148
Uber,Transport,210.08,87
Sky Mobile,Mobile Services,175.07,153
Virgin Mobile,Mobile Services,93.29,21
Tesco,Groceries,79.47,46
Bolt,Transport,226.38,145
