Merchant,Amount,TransactionID,PaymentMethod,Category,Timestamp
Lidl,395.85926889645816,TZAM9X,Credit Card,Groceries,2025-02-01 20:01:00
Lidl,166.95197313834504,OYM674,Cash,Groceries,2025-02-01 23:21:00
Amazon,165.31029516308658,XC1JW3,PayPal,Shopping,2025-02-01 10:47:00
Lidl,484.80728254380546,EJ68UL,Debit Card,Groceries,2025-02-01 15:07:00
IKEA,340.39688100302993,P1JV3Z,Cash,Home & Garden,2025-02-02 06:38:00
Amazon UK,10.68819556886374,YJ8KMI,Cash,Shopping,2025-02-02 06:31:00
Nandos,287.9225175963353,UXAZDK,Debit Card,Food & Drink,2025-02-02 05:19:00
McDonald's,209.76735925005548,OQJFQY,PayPal,Food & Drink,2025-02-01 10:57:00
British Gas,13.622897144339637,5LHY6N,Credit Card,Utilities & Bills,2025-02-02 04:21:00
O2,241.61007371186665,E3T4JN,PayPal,Mobile Services,2025-02-01 17:19:00
Vodafone,335.86845531615984,VNMT65,Mobile,Mobile Services,2025-02-02 08:05:00
H&M,195.9923708931503,QIHBAX,Debit Card,Clothing,2025-02-01 16:44:00
Coffee,311.32133399468347,X2IXQR,Mobile,Food & Drink,2025-02-01 18:56:00
Thames Water,476.6041964079967,Z51FEJ,Cash,Utilities & Bills,2025-02-02 04:33:00
Tesco,241.15217541151245,WLT8QW,Credit Card,Groceries,2025-02-01 16:26:00
Cafe,258.1751816549557,0QNEC8,Cash,Food & Drink,2025-02-01 18:27:00
Vodafone,99.67916674164495,5J6IC6,Credit Card,Mobile Services,2025-02-01 21:40:00
Iceland,280.46323142386666,TN6H6O,Debit Card,Shopping,2025-02-01 18:58:00
IKEA,123.65949620777155,KV3IJW,Credit Card,Home & Garden,2025-02-02 09:13:00
Costa,62.947399621137535,MEJJ10,Cash,Food & Drink,2025-02-02 09:19:00
ASDA,338.44050770203796,DVJ035,Debit Card,Groceries,2025-02-02 05:29:00
British Gas,76.06862165084347,IBKCW1,Mobile,Utilities & Bills,2025-02-01 21:52:00
John Lewis,328.57548481626594,1NLQVC,Credit Card,Shopping,2025-02-02 03:17:00
B&Q,382.72646353081353,SJHWN8,Credit Card,Home & Garden,2025-02-02 08:20:00
Tesco,329.6770831276121,OQE8W0,Cash,Groceries,2025-02-01 14:30:00
Amazon UK,465.2315653038808,I2DR8L,PayPal,Shopping,2025-02-02 00:09:00
IKEA,97.62570910717083,OU4DCI,Cash,Home & Garden,2025-02-02 00:14:00
Netflix UK,104.14880296942167,9482CF,Credit Card,Entertainment,2025-02-01 15:59:00
TFL,55.91834012304961,QR6LID,Cash,Transport,2025-02-01 11:12:00
B&Q,319.73753493032086,4800BZ,PayPal,Home & Garden,2025-02-02 04:15:00
Greggs,372.90626341466657,VQMT5A,Debit Card,Food & Drink,2025-02-02 08:24:00
TFL,382.0163832427823,9N0KG9,PayPal,Transport,2025-02-01 12:05:00
Cineworld,271.29308531951847,00J646,Cash,Entertainment,2025-02-02 05:08:00
Currys PC World,110.93281968372243,4LDE0R,Cash,Electronics,2025-02-02 03:52:00
IKEA,129.98614033652348,OSJ2QC,Credit Card,Home & Garden,2025-02-02 05:28:00
Currys PC World,461.63333917410495,BXS3TC,Credit Card,Electronics,2025-02-02 05:50:00
Wagamama,462.6668717399852,LHYQDT,Credit Card,Food & Drink,2025-02-01 20:54:00
Greggs,364.0251935228951,NDRSF0,Credit Card,Food & Drink,2025-02-01 13:22:00
Coffee,197.88550332280593,AUVGMV,PayPal,Food & Drink,2025-02-01 18:47:00
O2,38.188626729586026,LZWA9N,PayPal,Mobile Services,2025-02-01 10:13:00
B&Q,282.86306196171284,LLXEFJ,Debit Card,Home & Garden,2025-02-01 19:49:00
IKEA,479.86813361642146,M3AB6Z,Mobile,Home & Garden,2025-02-01 18:40:00
Nandos,156.76542014489834,BXE98P,Debit Card,Food & Drink,2025-02-01 19:25:00
TFL,321.46486086744693,7JRUHD,Debit Card,Transport,2025-02-01 11:06:00
Argos,145.50978788798366,WQ4O3T,Credit Card,Retail,2025-02-02 08:04:00
Temu,250.3162212148417,ROFKYE,Mobile,Shopping,2025-02-01 17:28:00
H&M,91.18292066010162,U0C1IX,Mobile,Clothing,2025-02-01 12:59:00
ebay,201.93724941459058,OM6D13,Cash,Shopping,2025-02-01 11:42:00
Gails,83.16495375772382,AT7XRP,Mobile,Food & Drink,2025-02-01 13:35:00
O2,10.16470959543354,KA5JZF,Cash,Mobile Services,2025-02-01 22:34:00
Lidl,465.23931144468577,RZN6T9,Debit Card,Groceries,2025-02-01 13:19:00
Cafe,94.95062684998074,Z85SO0,Cash,Food & Drink,2025-02-01 19:41:00
IKEA,412.14297446030486,ICGJ7C,PayPal,Home & Garden,2025-02-01 12:35:00
Thames Water,437.8249418764803,XGST9X,Credit Card,Utilities & Bills,2025-02-02 02:23:00
Amazon UK,249.07938581124813,F7LMBZ,PayPal,Shopping,2025-02-02 07:02:00
Walmart,191.2579429112338,UQJSBJ,Cash,Shopping,2025-02-02 00:59:00
B&Q,132.99961253642527,3CE8IJ,Cash,Home & Garden,2025-02-01 21:43:00
Amazon UK,47.634686233585995,DV7X8T,Credit Card,Shopping,2025-02-02 05:55:00
John Lewis,127.47056319742327,W1M4EV,Debit Card,Shopping,2025-02-01 19:54:00
Amazon,311.4061622147727,HBTYRL,Cash,Shopping,2025-02-01 18:22:00
ebay,75.79716486549141,EPU1F4,Credit Card,Shopping,2025-02-02 09:26:00
B&Q,288.0470690401606,MDQ0I6,Debit Card,Home & Garden,2025-02-01 23:29:00
Argos,362.81486213658434,4BW08H,Debit Card,Retail,2025-02-02 01:06:00
Lidl,449.7754402597798,MJVZMO,Credit Card,Groceries,2025-02-01 12:11:00
Vodafone,155.7972722333377,0QIE9U,Cash,Mobile Services,2025-02-01 13:59:00
Thames Water,466.63400858784,ZYHIBM,Cash,Utilities & Bills,2025-02-01 15:42:00
Uber,455.4257041269629,H5BN55,PayPal,Transport,2025-02-02 05:45:00
Restaurent,216.55228485135868,QNQHPS,PayPal,Food & Drink,2025-02-01 16:16:00
Pret A Manger,306.3197923898596,QDQYMB,Debit Card,Food & Drink,2025-02-01 12:05:00
Cafe,304.3459860307751,XFYC40,Cash,Food & Drink,2025-02-02 00:11:00
Thames Water,499.2782328836309,R004H9,Cash,Utilities & Bills,2025-02-01 23:53:00
Vodafone,149.67484020252707,0E9T07,Mobile,Mobile Services,2025-02-02 06:55:00
